rk2810,ProjectPython,"[{u'a': 50, u'c': 4, u'd': 1, u'w': 1488067200}, {u'a': 0, u'c': 0, u'd': 0, u'w': 1488672000}, {u'a': 0, u'c': 0, u'd': 0, u'w': 1489276800}, {u'a': 0, u'c': 0, u'd': 0, u'w': 1489881600}, {u'a': 0, u'c': 0, u'd': 0, u'w': 1490486400}, {u'a': 0, u'c': 0, u'd': 0, u'w': 1491091200}, {u'a': 0, u'c': 0, u'd': 0, u'w': 1491696000}, {u'a': 0, u'c': 0, u'd': 0, u'w': 1492300800}, {u'a': 0, u'c': 0, u'd': 0, u'w': 1492905600}, {u'a': 0, u'c': 0, u'd': 0, u'w': 1493510400}, {u'a': 0, u'c': 0, u'd': 0, u'w': 1494115200}, {u'a': 0, u'c': 0, u'd': 0, u'w': 1494720000}, {u'a': 0, u'c': 0, u'd': 0, u'w': 1495324800}, {u'a': 0, u'c': 0, u'd': 0, u'w': 1495929600}, {u'a': 84, u'c': 5, u'd': 2, u'w': 1496534400}, {u'a': 213, u'c': 8, u'd': 151, u'w': 1497139200}, {u'a': 566, u'c': 14, u'd': 153, u'w': 1497744000}, {u'a': 38, u'c': 1, u'd': 16, u'w': 1498348800}]",32
princeyadav05,Github-Tracker,"[{u'a': 12, u'c': 1, u'd': 2, u'w': 1498348800}]",1
princeyadav05,Github-Tracker,"[{u'a': 98, u'c': 5, u'd': 555, u'w': 1498348800}]",5
shuttlesworthNEO,AV-MRIU,"[{u'a': 0, u'c': 0, u'd': 0, u'w': 1496534400}, {u'a': 14, u'c': 1, u'd': 0, u'w': 1497139200}, {u'a': 0, u'c': 0, u'd': 0, u'w': 1497744000}, {u'a': 0, u'c': 0, u'd': 0, u'w': 1498348800}]",1
shuttlesworthNEO,AV-MRIU,"[{u'a': 4, u'c': 2, u'd': 1, u'w': 1496534400}, {u'a': 249, u'c': 3, u'd': 14, u'w': 1497139200}, {u'a': 0, u'c': 0, u'd': 0, u'w': 1497744000}, {u'a': 0, u'c': 0, u'd': 0, u'w': 1498348800}]",5
princeyadav05,quizzer,"[{u'a': 402, u'c': 1, u'd': 0, u'w': 1495929600}, {u'a': 0, u'c': 0, u'd': 0, u'w': 1496534400}, {u'a': 0, u'c': 0, u'd': 0, u'w': 1497139200}, {u'a': 0, u'c': 0, u'd': 0, u'w': 1497744000}, {u'a': 0, u'c': 0, u'd': 0, u'w': 1498348800}]",1
